id,name,city,rating,rating_count,cost,cuisine
516171,FRUITASTY,Adilabad,4.0,50.0,100.0,"Beverages,Desserts"
226299,Lotus Grand Family Restaurant,Adilabad,3.6,50.0,250.0,Biryani
374706,Shaifan Tiffin Centre,Adilabad,4.0,50.0,110.0,"Street Food,Indian"
473193,Food On Wheels,Adilabad,4.0,50.0,100.0,South Indian
167412,Sri Sai Mom's Kitchen Restaurant,Adilabad,3.3,20.0,400.0,Biryani
503717,China Kitchen Restaurant,Adilabad,4.0,50.0,250.0,Chinese
165530,Renuka Hotel,Adilabad,3.1,20.0,250.0,South Indian
255925,Tanishq Family Restaurant,Adilabad,3.7,50.0,250.0,"Chinese,Indian"
225921,KMC Hotel,Adilabad,3.6,20.0,100.0,Biryani
549242,RAMA JUICE AND SHAKES PARLOUR (LASSI N SHAKES ),Adilabad,4.0,50.0,150.0,"Indian,Beverages"
321587,Kwality Walls Frozen Dessert and Ice Cream Shop,Adityapur,4.8,20.0,300.0,Desserts
439487,La Pino'z Pizza,Adityapur,4.1,500.0,200.0,"Pizzas,Fast Food"
397980,Chaw Box,Adityapur,3.3,100.0,300.0,"Chinese,North Indian"
304302,Cafe Coffee Day,Adityapur,3.7,50.0,300.0,"Beverages,Snacks"
533186,Aditya Inn Restaurant,Adityapur,3.6,100.0,150.0,"Biryani,Chinese"
478348,Taste Ville,Adityapur,4.0,50.0,100.0,"North Indian,Indian"
138890,Indian Bakery,Adityapur,3.3,100.0,200.0,Bakery
553999,Mannat Bakers,Adityapur,4.0,50.0,300.0,Bakery
410839,China Town,Adityapur,4.0,50.0,200.0,Chinese
137701,The Onyx (Pure veg),Adityapur,3.8,100.0,300.0,"Indian,Chinese"
575990,KI & KA KITCHEN,Adityapur,4.0,50.0,200.0,"Chinese,North Indian"
410838,Magic Momo,Adityapur,4.0,50.0,200.0,"Chinese,Tandoor"
397258,Yes Yo Momo,Adityapur,4.0,50.0,150.0,Chinese
133352,NEW GANGOUR SWEETS (Adityapur),Adityapur,4.0,50.0,200.0,South Indian
150497,National Bakery,Adityapur,4.4,50.0,399.0,"Bakery,Snacks"
383716,BAKERY POINT.,Adityapur,4.0,50.0,200.0,"Bakery,Snacks"
113948,KFC,Adityapur,4.0,500.0,400.0,"American,Snacks"
431552,LUV BITES BAKERY,Adityapur,4.0,50.0,250.0,Bakery
412357,Buddha Delight - Gamharia,Adityapur,3.5,100.0,200.0,"Chinese,Indian"
102037,Dosa Planet,Adityapur,3.9,500.0,249.0,"South Indian,Indian"
578207,SAMBHU DOSA,Adityapur,4.0,50.0,150.0,"South Indian,Chinese"
565260,Red Oven,Adityapur,4.0,50.0,250.0,Bakery
101351,Pizza Hut,Adityapur,3.3,100.0,350.0,Pizzas
480203,CHAMPARAN TASTE MUTTON CHICKEN,Adityapur,4.0,50.0,100.0,North Indian
102842,Junction,Adityapur,3.9,500.0,399.0,"Indian,Chinese"
138891,Kolkata Royal Biryani,Adityapur,3.7,500.0,150.0,"Biryani,Street Food"
143143,Yummerica Fries,Adityapur,3.8,50.0,400.0,"American,Beverages"
558957,Tandoori Hut,Adityapur,4.4,20.0,400.0,"North Indian,Tandoor"
489011,Karim's,Adityapur,2.7,20.0,500.0,"Snacks,Kebabs"
428013,Tanndoori Hut,Adityapur,4.0,50.0,200.0,"Chinese,Indian"
116273,New Gangour Sweets (Bistupur),Adityapur,4.3,100.0,99.0,Sweets
478936,Momo Nation Cafe,Adityapur,3.8,50.0,200.0,"Nepalese,Chinese"
477627,NIC Natural Ice Creams,Adityapur,4.4,500.0,120.0,"Ice Cream,Desserts"
437616,Haldiram's Prabhuji,Adityapur,4.0,100.0,300.0,"North Indian,South Indian"
550910,BANARASI PAAN CAFE,Adityapur,4.0,50.0,100.0,Paan
342366,Chowringhee Square,Adityapur,3.5,20.0,250.0,"Biryani,North Indian"
557008,Kanya Restaurant,Adityapur,4.1,500.0,200.0,"North Indian,Chinese"
97199,Domino's Pizza,Adityapur,4.1,50.0,400.0,Pizzas
134569,Motel Madhuban,Adityapur,4.1,100.0,499.0,"Indian,Chinese"
183009,Baker Street,Adityapur,4.1,100.0,150.0,Bakery
174586,Dasaprakash,Adityapur,4.3,100.0,400.0,"South Indian,North Indian"
494588,Kailash Parbath,Adityapur,4.0,50.0,400.0,"Chaat,Biryani"
102042,Biryani House,Adityapur,2.9,20.0,499.0,"Biryani,Indian"
431339,Little Metro,Adityapur,3.9,100.0,200.0,"North Indian,Chinese"
109550,The Madrasi Hotel,Adityapur,4.3,100.0,299.0,South Indian
477628,Grameen Kulfi,Adityapur,4.5,100.0,120.0,"Ice Cream,Desserts"
129550,Asian Inn,Adityapur,4.0,1000.0,399.0,"Indian,Tandoor"
387674,Biggies Burger,Adityapur,3.8,100.0,300.0,"American,Fast Food"
183165,Kaveri (Adityapur),Adityapur,3.5,100.0,200.0,Indian
310273,Scoops Of Joy,Adityapur,4.0,50.0,200.0,"Ice Cream,Desserts"
293915,Subway,Adityapur,3.3,100.0,350.0,"Healthy Food,Salads"
131676,Deep Chinese Fast Food,Adityapur,4.0,50.0,200.0,Chinese
109258,What's up Food,Adityapur,3.6,20.0,200.0,Chinese
483552,AUROUS RESTRO LOUNGE,Adityapur,4.0,100.0,500.0,"Continental,American"
517939,The Novelty,Adityapur,2.7,20.0,249.0,"South Indian,Chinese"
154840,Anand,Adityapur,4.3,500.0,299.0,"South Indian,Indian"
494001,Kolkata Biryani - Jugsalai,Adityapur,3.8,50.0,150.0,Biryani
489362,Mahi Momos,Adityapur,4.0,50.0,200.0,Chinese
510109,The Bawarchi,Adityapur,2.5,20.0,150.0,"North Indian,Chinese"
249335,BEYOND TEMPTATION,Adityapur,3.3,20.0,199.0,"Pizzas,Pastas"
174458,Milanee s Kitchen,Adityapur,4.2,100.0,399.0,"Bengali,Indian"
129691,Al Karim Fast Food,Adityapur,4.2,100.0,200.0,"Street Food,Chinese"
139864,Raj Sweets and Snackes (Sindhi),Adityapur,3.7,20.0,200.0,"Indian,South Indian"
486482,The Moti Mahal,Adityapur,3.2,100.0,399.0,"Indian,Chinese"
109839,Manohar Maharaj & Sons,Adityapur,4.3,50.0,100.0,"South Indian,Chaat"
102219,Chinese Inn,Adityapur,4.2,50.0,399.0,"Chinese,Indian"
364571,DELLISH,Adityapur,3.6,20.0,300.0,"Chinese,Continental"
413342,Ramesh Kulfi,Adityapur,3.3,20.0,200.0,"Chinese,North Indian"
387177,New Gangour Sweets,Adityapur,4.1,50.0,200.0,"Sweets,Snacks"
141706,Fakira Chanachur,Adityapur,4.3,20.0,199.0,Snacks
501701,Yash Siddhant Takeaway,Adityapur,4.0,50.0,100.0,"South Indian,Chinese"
456922,Sehat World,Adityapur,3.8,20.0,50.0,"Beverages,Italian"
102582,Brubeck Bakery,Adityapur,4.1,100.0,200.0,"Bakery,Desserts"
405031,Annapurna,Adityapur,4.2,20.0,200.0,"Chinese,Tandoor"
263185,The Chocolate Room,Adityapur,3.7,20.0,400.0,"Bakery,Beverages"
109549,Le Bon,Adityapur,4.2,100.0,399.0,"Bakery,Pizzas"
487422,Foodie Baba,Adityapur,4.0,50.0,200.0,"Chinese,South Indian"
163436,New Chappan Bhog - Bistupur,Adityapur,4.3,20.0,200.0,"Sweets,Snacks"
282630,TIME OUT,Adityapur,4.1,100.0,299.0,"Chaat,South Indian"
255651,GUAVA - ALL DAY BISTRO,Adityapur,3.8,50.0,300.0,"Chinese,Biryani"
549624,Laziz Biryani,Adityapur,4.0,50.0,150.0,Biryani
413451,Chulha Chauka,Adityapur,3.5,20.0,100.0,"Thalis,Indian"
523044,Olive  Multicuisine Restaurant,Adityapur,4.0,50.0,300.0,"Chinese,North Indian"
102038,Hong Kong,Adityapur,4.0,20.0,400.0,Chinese
403754,BAKING BOND,Adityapur,4.4,20.0,199.0,"Bakery,Desserts"
545808,MUMMY SPECIAL KITCHEN,Adityapur,4.0,50.0,250.0,"Indian,Chinese"
439417,DESI BIDESI,Adityapur,4.0,50.0,200.0,North Indian
390478,Puja Bhojnalaya,Adityapur,4.0,50.0,200.0,"Indian,Biryani"
103649,Blooms,Adityapur,3.8,50.0,250.0,Indian
430451,Chai Break,Adityapur,4.3,20.0,400.0,"North Indian,Chinese"
518548,BIRYANI  WALE,Adityapur,2.4,50.0,200.0,Biryani
518819,Kebabchi,Adityapur,4.0,50.0,300.0,"Indian,Snacks"
447526,Pizza Peddler,Adityapur,3.8,50.0,200.0,"Pizzas,Pastas"
102579,Veggie Corner( Hotel Nataraj),Adityapur,4.3,20.0,499.0,"Pizzas,South Indian"
126128,Dosa king,Adityapur,4.0,50.0,200.0,South Indian
518803,Bhatia Milkshake,Adityapur,4.3,20.0,299.0,Beverages
377434,Candle light,Adityapur,4.0,50.0,250.0,"Indian,Chinese"
442180,RECIPE,Adityapur,4.0,50.0,300.0,"Indian,Bengali"
129551,Equinox,Adityapur,4.5,20.0,400.0,"Indian,Chinese"
577891,THE BOULANGERIE,Adityapur,4.0,50.0,300.0,"Bakery,Burgers"
462172,MOTHER'S BAKERY,Adityapur,4.0,50.0,200.0,Bakery
104481,Thanco's Natural Ice Cream,Adityapur,4.5,20.0,299.0,Ice Cream
536499,Gopalram Restaurant,Adityapur,4.0,50.0,100.0,"South Indian,Chinese"
532670,MEDIVALS MEAL,Adityapur,4.0,50.0,250.0,"Chinese,Indian"
113036,Kwality,Adityapur,4.0,20.0,499.0,"Indian,Chinese"
536328,Chinese Fusion,Adityapur,4.0,50.0,200.0,Indian
109548,Bon Appetit,Adityapur,4.1,20.0,300.0,"Indian,Chinese"
364627,JH05 Cafe,Adityapur,4.0,50.0,200.0,"Chinese,Beverages"
104147,Social 75,Adityapur,4.0,20.0,399.0,"Continental,Indian"
553404,AADD M AADD B,Adityapur,4.0,50.0,180.0,"Ice Cream,Beverages"
271964,Baskin Robbins,Adityapur,4.6,50.0,250.0,"Desserts,Ice Cream"
102041,Blue Sapphire,Adityapur,4.0,50.0,200.0,"Indian,Biryani"
497063,BAMBOO CAFE,Adityapur,4.0,50.0,100.0,"Indian,Chinese"
378028,Sagar's Kitchen Kraft,Adityapur,3.7,50.0,199.0,"Indian,Chinese"
549633,Pajji Da Lassi,Adityapur,4.0,50.0,100.0,Beverages
143194,Fakira Chanachur (Tulsi Bhawan),Adityapur,4.0,50.0,100.0,"Indian,Snacks"
327008,The Food Circus,Adityapur,4.0,50.0,299.0,"Chinese,Continental"
497638,Crunchicken,Adityapur,4.0,50.0,300.0,"Indian,American"
580202,Delight Foods,Adityapur,4.0,50.0,200.0,Indian
377292,SAGAR SWEETS,Adityapur,4.0,50.0,250.0,"Indian,Snacks"
102571,Spice Zone( Hotel Nataraj),Adityapur,4.0,50.0,250.0,Indian
476303,Lion's Pride,Adityapur,3.5,20.0,200.0,North Indian
451742,Mainland India,Adityapur,4.0,50.0,200.0,"Indian,Thalis"
451743,So china,Adityapur,4.0,50.0,299.0,"Chinese,Tibetan"
116272,Cafe Regal,Adityapur,4.0,50.0,200.0,"Fast Food,Snacks"
102581,Chopsticks,Adityapur,3.3,20.0,499.0,"Indian,Chinese"
508701,Momo Kitchen,Adityapur,4.0,50.0,200.0,"Chinese,Snacks"
549383,AL- HUSSAIN RESTAURANT,Adityapur,4.0,50.0,300.0,"Chinese,Biryani"
440950,Taste of China,Adityapur,4.0,50.0,199.0,"Chinese,Thai"
355561,TAZ CAKES N MOUSSE.,Adityapur,4.0,50.0,200.0,Desserts
462505,Tasty Spoon & Gungun Tiffin,Adityapur,4.0,50.0,200.0,"Indian,Chinese"
186264,New US Pizza,Adityapur,3.6,100.0,299.0,"Pizzas,Snacks"
211142,Bhook Pyaas,Adityapur,3.5,20.0,200.0,"Chinese,Indian"
489422,Aditi Foods,Adityapur,3.8,20.0,100.0,Indian
401391,Chinimama,Adityapur,4.3,20.0,199.0,"Chinese,Biryani"
354669,Brunch Italino (Kadma Market),Adityapur,3.9,20.0,200.0,"Bakery,Desserts"
519622,Rajasthan Sharma Hotel,Adityapur,4.0,50.0,200.0,"Sweets,Snacks"
153339,Chef Corner,Adityapur,3.9,500.0,299.0,"Indian,Chinese"
443028,Brunch Italiano,Adityapur,4.0,50.0,200.0,"Bakery,Desserts"
226773,AB Palace,Adityapur,3.4,20.0,200.0,"Chinese,Indian"
385197,Mathura Mistan Bhandar,Adityapur,4.5,100.0,200.0,"Sweets,Snacks"
431115,Bs Bakery & Cafe,Adityapur,4.0,50.0,200.0,"Bakery,Desserts"
508583,MUMBAI CHAT,Adityapur,4.0,50.0,100.0,Chaat
132538,Pizzapuram,Adityapur,3.7,100.0,200.0,"Pizzas,Italian"
394140,SURESH SOUTH INDIAN KITCHEN,Adityapur,4.0,50.0,200.0,South Indian
124500,Gopal Dosa,Adityapur,4.1,100.0,100.0,South Indian
370259,Apna Adda,Adityapur,4.1,50.0,150.0,"Chinese,Snacks"
